"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 10:53:44 ICT 2023","Fri Mar 31 10:53:50 ICT 2023","5777","Regression","Groups","testcases.web.group.GroupCreating","testcases.web.group.GroupCreating","TC_04","Verify if a group has been granted access to a write role, the system will also automatically grant access to the associated read role within the system","Verify if a group has been granted access to a write role, the system will also automatically grant access to the associated read role within the system"
"passed","Fri Mar 31 10:53:05 ICT 2023","Fri Mar 31 10:53:34 ICT 2023","29414","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_07","Verify can not edit user without enter mandatory field 'Email Address'","Verify can not edit user without enter mandatory field 'Email Address'"
"broken","Fri Mar 31 10:46:02 ICT 2023","Fri Mar 31 10:46:37 ICT 2023","35788","Regression","Login","testcases.web.Login","testcases.web.Login","TC_Login_01","Verify login successfully with ''","Verify login successfully with 
Email: resource.management.write@gmail.com
 Password: userPass@123"
"broken","Fri Mar 31 11:15:26 ICT 2023","Fri Mar 31 11:16:02 ICT 2023","36116","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_37","Verify Configuration Read user can not create new user","Verify Configuration Read user can not create new user"
"passed","Fri Mar 31 10:51:20 ICT 2023","Fri Mar 31 10:51:50 ICT 2023","30022","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_05","Verify User Group,Phone Number are not required fields for user editing","Verify User Group,Phone Number are not required fields for user editing"
"unknown","Fri Mar 31 11:27:24 ICT 2023","Fri Mar 31 11:27:24 ICT 2023","0","Regression","Reset password","testcases.web.ResetPassword","testcases.web.ResetPassword","TC_05","TC_05",""
"broken","Fri Mar 31 11:10:43 ICT 2023","Fri Mar 31 11:11:19 ICT 2023","36098","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_12","Verify System Read user can not create new Driver","Verify System Read user can not create new Driver"
"broken","Fri Mar 31 11:26:25 ICT 2023","Fri Mar 31 11:27:23 ICT 2023","57628","Regression","Solutions","testcases.web.solutions.Solutions","testcases.web.solutions.Solutions","TC_01","Verify solutions page show with default region","Verify solutions page show with default region"
"passed","Fri Mar 31 10:53:14 ICT 2023","Fri Mar 31 10:53:31 ICT 2023","16828","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_07","Verify can not create user without enter mandatory field 'Email Address'","Verify can not create user without enter mandatory field 'Email Address'"
"passed","Fri Mar 31 10:52:35 ICT 2023","Fri Mar 31 10:52:54 ICT 2023","19142","Regression","Users","testcases.web.user.UsersDeleting","testcases.web.user.UsersDeleting","TC_02","Verify can cancel user deleting action","Verify can cancel user deleting action"
